Serial, mut_t1, mut_t2, mut_t4, mut_t8, rw_t1, rw_t2, rw_t4, rw_t8
27712, 27943, 42085, 41965, 44271, 28432, 22959, 22331, 26406
27407, 28216, 43252, 42641, 43906, 28996, 22420, 24911, 27544
26856, 28209, 41834, 41887, 43403, 29074, 22664, 22429, 28351
26699, 28122, 42069, 42793, 43110, 28607, 24126, 23224, 28342
27025, 28237, 41506, 42140, 42972, 29381, 22248, 23194, 27153
26854, 27343, 40912, 41227, 43341, 27914, 21823, 22180, 29374
26696, 27746, 41191, 40572, 42031, 28263, 21374, 23751, 25614
26843, 27432, 40761, 41136, 42176, 28092, 21683, 21902, 26967
26883, 27583, 43394, 42724, 43677, 28217, 22318, 22681, 26361
27128, 27975, 41653, 41261, 42706, 28204, 22619, 23762, 25041
27321, 27744, 41523, 43409, 44394, 28251, 21708, 22694, 24801
26953, 27886, 41110, 41356, 42964, 28854, 22516, 23213, 27402
28354, 27886, 42010, 42065, 43342, 29015, 21018, 23981, 27395
27981, 27206, 41294, 42217, 42862, 28174, 22091, 22646, 28190
29178, 28381, 41823, 41332, 42726, 27390, 21468, 23108, 26422
26863, 26522, 40525, 40375, 42362, 27348, 22031, 22094, 24697
26752, 26672, 40859, 42571, 42435, 27247, 22353, 22668, 25273
27588, 26757, 40796, 41847, 41362, 27126, 21909, 22647, 26062
26389, 26969, 40798, 43331, 44103, 27816, 22157, 23472, 25808
26373, 27204, 42162, 43085, 42234, 27623, 21491, 22676, 25819
28980, 27521, 41618, 41080, 42369, 27424, 22408, 23197, 26523
26410, 27078, 41712, 39793, 42166, 26385, 21919, 21594, 24893
27038, 25724, 40126, 40888, 41289, 26099, 21018, 23055, 25493
27322, 25991, 39974, 39087, 41133, 26187, 21738, 22052, 26352
27158, 25722, 40425, 39590, 42103, 26648, 20807, 22337, 25912
25995, 27843, 42763, 43054, 43545, 28484, 22307, 23069, 25676
26423, 27971, 41553, 42373, 45654, 32200, 22586, 24186, 26977
25997, 27817, 42339, 42356, 43250, 28253, 22353, 22074, 28409
26079, 27641, 42317, 40821, 42850, 27201, 21602, 22695, 28058
26991, 26774, 41496, 40346, 42882, 27711, 21260, 22827, 27446
26889, 26787, 42147, 41618, 42163, 27247, 21765, 21623, 25501
27182, 27085, 40876, 40128, 42950, 29173, 21413, 23577, 27637
26275, 26557, 41195, 41119, 43738, 27430, 21570, 22310, 25728
26382, 26685, 42448, 41073, 43036, 27317, 21242, 23134, 26745
27112, 26857, 41806, 40399, 42386, 27274, 22404, 22769, 25823
27854, 27807, 41530, 40716, 43397, 28397, 22398, 23300, 26571
27665, 27232, 41846, 41744, 43118, 28217, 21509, 22860, 25829
28242, 28247, 40969, 40366, 41962, 28217, 22028, 23206, 26957
27860, 27742, 40900, 38913, 41541, 26593, 21579, 21601, 24866
26326, 25493, 40158, 40582, 41420, 26147, 20932, 21693, 24054
26574, 25729, 40009, 40039, 40266, 26100, 21450, 21440, 25346
26366, 25443, 40294, 40296, 41853, 26215, 20598, 23223, 26791
26730, 26966, 40191, 42046, 42669, 27305, 21377, 22301, 26222
27152, 26946, 41174, 40144, 42268, 26980, 22686, 23374, 24948
26671, 26639, 40733, 40816, 42865, 27281, 21170, 22341, 25241
26765, 27602, 42104, 41352, 42524, 27059, 21993, 22373, 27570
26834, 26913, 41840, 39697, 42026, 27007, 22581, 22817, 26402
26067, 26559, 41750, 40824, 42671, 27140, 21536, 23112, 24711
26043, 26497, 41536, 41776, 42990, 27810, 22599, 22245, 26955
27612, 27997, 42057, 41635, 42998, 27828, 22370, 23447, 26812
26759, 27361, 41513, 41223, 44087, 28205, 22389, 22602, 26877
26722, 27366, 42355, 42609, 42431, 27832, 22397, 23348, 27984
27425, 27669, 42565, 40233, 42532, 27586, 22015, 24455, 27382
26718, 26894, 42106, 42160, 43766, 27828, 22191, 23264, 25116
27069, 27423, 43108, 42577, 42610, 27643, 23179, 22812, 25399
27384, 27251, 41460, 41805, 43269, 27209, 21361, 22135, 25668
26674, 26254, 41398, 41511, 42294, 26823, 21556, 22089, 27515
26908, 26621, 41765, 39620, 42413, 26884, 21052, 23463, 25248
26762, 26347, 41080, 40632, 43051, 27085, 20917, 21804, 26334
26303, 25827, 40140, 40346, 41707, 26279, 21316, 21358, 25158
26739, 26254, 40849, 40681, 41287, 26492, 20890, 23796, 25224
26462, 25842, 39731, 41803, 41251, 26621, 21134, 21861, 26558
27431, 26638, 41345, 43001, 43486, 27222, 22543, 22973, 26538
27980, 27069, 41478, 40836, 42428, 27199, 21957, 22876, 27112
27650, 26973, 40946, 40774, 43752, 27303, 21987, 22022, 25003
27363, 26625, 41082, 41976, 41674, 26831, 21299, 27488, 25443
27405, 27153, 41361, 41370, 42480, 26995, 21955, 22139, 27208
26956, 26547, 40518, 40421, 43532, 27391, 21959, 22049, 26242
26970, 26471, 40573, 41994, 42188, 26952, 21894, 21613, 26130
26703, 28168, 41321, 40470, 42809, 28348, 22925, 23016, 26267
26387, 28551, 42226, 41758, 43920, 28323, 22293, 24262, 26782
26417, 27809, 42254, 41879, 43335, 28308, 21994, 22481, 26131
27372, 28455, 41418, 40768, 43034, 27562, 22283, 23716, 27860
26760, 27037, 41631, 40261, 43148, 27776, 21592, 23024, 26775
26516, 26820, 42105, 41453, 43091, 27413, 22125, 22931, 26485
26914, 27367, 39794, 42111, 42449, 27418, 23315, 22324, 26861
26306, 27115, 41062, 40212, 42207, 28086, 22402, 22762, 26288
26352, 27095, 41647, 41025, 43507, 27725, 21892, 23418, 24913
26782, 27405, 41182, 40569, 42223, 27679, 23295, 23431, 26459
27499, 27374, 42994, 41167, 43377, 27963, 21739, 22883, 26954
27295, 27668, 41273, 40283, 42160, 28031, 22469, 23036, 26843
28109, 27139, 41260, 41528, 42773, 28192, 22179, 23017, 27014
27503, 27404, 43732, 43715, 44234, 27751, 22808, 22341, 27896
26816, 27534, 42942, 41807, 42764, 28115, 22876, 23103, 26754
26158, 27295, 42534, 43093, 43865, 27729, 22680, 23851, 26408
25974, 27381, 43252, 42168, 42012, 26747, 21274, 22702, 26180
26614, 26096, 40570, 39518, 41252, 27072, 21849, 21489, 25154
26349, 26381, 41168, 40532, 42295, 27042, 21203, 22845, 26742
26619, 26747, 40173, 40077, 40884, 26707, 21671, 22301, 26911
27373, 26921, 41362, 40692, 43554, 27667, 21777, 22358, 26495
27553, 26814, 41205, 41682, 42817, 27545, 21499, 21733, 25751
27776, 27393, 41065, 40694, 42656, 27197, 22167, 22590, 27295
27425, 26853, 41459, 41239, 42285, 27107, 21207, 23115, 26787
26447, 26435, 40649, 40812, 42723, 26847, 21379, 22143, 27015
26774, 26979, 40578, 40553, 43054, 26841, 21358, 23167, 26649
26542, 26513, 40785, 41326, 43400, 27039, 21877, 22367, 25111
26105, 28223, 42168, 43367, 42928, 27731, 22883, 22262, 26073
26426, 27668, 40865, 41003, 42332, 29610, 22455, 24447, 25885
26181, 27255, 41335, 41666, 43898, 27855, 22237, 22172, 27110
26185, 27286, 40969, 41001, 41321, 26857, 21724, 21763, 26257
27680, 26489, 40200, 40194, 41346, 26831, 21481, 22628, 25626
26807, 26267, 41207, 41176, 42896, 27059, 21852, 22370, 27424
26898, 26375, 41010, 41096, 42857, 27821, 21697, 22827, 26666
27034, 27606, 42078, 41402, 42887, 27981, 22458, 22326, 26385
26700, 27423, 42884, 40970, 44355, 28023, 22166, 22577, 26316
26638, 26884, 41918, 42103, 43212, 27935, 22395, 23468, 25797
26934, 27272, 42389, 40382, 42051, 27043, 21580, 22411, 26935
26827, 26640, 41302, 40603, 42498, 27477, 22046, 21659, 25629
27038, 26682, 41972, 40923, 42593, 27032, 21712, 22297, 26679
27175, 27256, 40178, 40795, 41917, 27197, 22761, 22387, 25339
26493, 26606, 40592, 41032, 43405, 27306, 21570, 22821, 27207
26181, 26635, 41003, 42135, 42358, 26972, 21550, 22366, 26421
